date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05
1979-01-02,11.446775095736776,11.959974373967079,12.266092084949015,12.448400843975051,12.558420046791801
1979-01-03,11.521412854725396,11.987385468836395,12.296540613898246,12.485394889163647,12.599162556100319
1979-01-04,11.517241838026916,11.941209468213296,12.243432708982837,12.4374309578176,12.55824245848768
1979-01-05,11.463236391617054,11.885243359244635,12.195494051786639,12.402442806966631,12.537189415481368
1979-01-08,11.383672262639868,11.819550952924535,12.144484063921487,12.3617447057451,12.504501030117375
1979-01-09,11.429830051882941,11.925329216455443,12.250473956391113,12.453036899360912,12.577222803608983
1979-01-10,11.462700220684567,11.952786074947007,12.278224181273325,12.484101094730153,12.61418153766283
1979-01-11,11.481637640785801,12.001731399316128,12.314311132465333,12.508692335038212,12.633257482236921
1979-01-12,11.539582773736038,12.017496692749654,12.321987389947241,12.517187085467496,12.648206328104603
1979-01-15,11.550249453088972,12.057892431531902,12.374273232254525,12.572436119773355,12.702614430229831
1979-01-16,11.53356667770373,12.059916839129388,12.379054933659665,12.574820090960248,12.699798043696823
1979-01-17,11.636040249111932,12.171689645060797,12.475039292324601,12.659110761717123,12.779661983656997
1979-01-18,11.62371623840281,12.181879618461172,12.482174371204598,12.665632984288319,12.792718255835327
1979-01-19,11.69687343717861,12.270198708659557,12.566657661328767,12.741221058110167,12.858329755213793
1979-01-22,11.84432690060323,12.472770042067218,12.75857273119601,12.913197012906588,13.017273380426181
1979-01-23,11.879433105102635,12.517567126735868,12.791693227612738,12.934060439076095,13.026935743931398
1979-01-24,12.152013422907942,12.786321606339913,13.026849663190459,13.136532526259783,13.2010698301257
1979-01-25,12.099317882460518,12.746677187121019,13.002213362178109,13.120667366315736,13.190520611169649
1979-01-26,12.039590342477529,12.681258693978753,12.953824029377374,13.079611202923038,13.149206312897544
1979-01-29,12.103032074599763,12.732126442626679,12.997259736121755,13.119716763385114,13.187575711746058
1979-01-30,12.082953699144234,12.693088617879864,12.96845144453574,13.107076849909566,13.19204097694284
1979-01-31,12.114255373130895,12.715862361902783,13.005315717906983,13.152672461238632,13.238797225354869
1979-02-01,12.154435572048516,12.742481765275942,13.037639136043341,13.193789793831678,13.288261197940077
1979-02-02,12.447241558241281,12.88698942331763,13.15560524208037,13.299031371739636,13.381974570892652
1979-02-05,12.45335034798612,12.915610885908102,13.177660908993943,13.322516092004768,13.412639464633227
1979-02-06,12.475450736336359,12.933319099721466,13.177833172665173,13.321353731118366,13.419692404608071
1979-02-07,12.684560905195353,13.097625422132369,13.312744104173186,13.436882358553509,13.521573172221395
1979-02-08,12.881734337863099,13.22284493259902,13.474631768682114,13.629010575454059,13.724153339308625
1979-02-09,12.673444659071837,13.095623604229583,13.399853258223525,13.586780496337964,13.700857186019414
1979-02-12,12.573475312100502,12.953339716478373,13.285374573689239,13.501129894856637,13.637927115763398
1979-02-13,12.417979348357113,12.886589567820305,13.229801159728133,13.446019600410189,13.579773589705994
1979-02-14,12.319764992302106,12.823848386270024,13.19027969633162,13.414231418348354,13.547039831859976
1979-02-15,12.255857281827604,12.809726410507171,13.192875222769862,13.424514210044272,13.564751770536935
1979-02-16,12.139621927882299,12.729333264272904,13.091907919951195,13.308954504519399,13.444409399789759
1979-02-19,11.649865250883639,12.170748165867352,12.582594917279948,12.871816189543964,13.078918925686471
1979-02-20,11.43221178712048,11.975428308564535,12.397259267774876,12.697326157682964,12.912635733391369
1979-02-21,11.435771180481341,11.995722841355985,12.391495590816065,12.671297901804508,12.879178501009903
1979-02-22,11.383530322503715,11.899029052425705,12.281900300896234,12.547823084293508,12.740569943507044
1979-02-23,11.335271324270295,11.788202205924069,12.16650370343593,12.434611645465733,12.622727446811453
1979-02-26,11.365842710527788,11.761816762826902,12.102513487910223,12.351944954835281,12.535095452560236
1979-02-27,10.982352094179328,11.216901955446236,11.491998590119961,11.735657222803765,11.943293149252815
1979-02-28,10.839897327557358,11.127962397005501,11.325591134844961,11.487197081691489,11.633390399585725
1979-03-01,11.120055186654605,11.465002164607258,11.646082689499808,11.779007386497623,11.891849280962962
1979-03-02,11.055018172353188,11.331884225153861,11.527376289998207,11.67453476455087,11.794224846109916
