date,GBR,CAN,JPN,DEU
1984-07-02,,0,,
1984-07-03,,0.44698214915007217,,
1984-07-04,,-0.05135368538999513,,
1984-07-05,,-0.021358025156168001,,
1984-07-06,,-0.081823552478595699,,
1984-07-09,,-0.41764440197548336,,
1984-07-10,,-0.30903051217804928,,
1984-07-11,,0.4745000565988356,,
1984-07-12,,0.057016066001436577,,
1984-07-13,,-0.42563626552328249,,
1984-07-16,,0.21476367296292734,,
1984-07-17,,0.019609141762815148,,
1984-07-18,,-0.37606855208309775,,
1984-07-19,,0.16277159445291164,,
1984-07-20,,0.27479382894515531,,
1984-07-23,,0.018468146733337677,,
1984-07-24,,0.9269750880062233,,
1984-07-25,,-0.4328663169529941,,
1984-07-26,,0.58080752722032336,,
1984-07-27,,-0.90519142109752071,,
1984-07-30,,0.15329340062604069,,
1984-07-31,,-0.011007335902892098,,
1984-08-01,,-1.0098551201023911,,
1984-08-02,,0.588248558596834,,
1984-08-03,,0.21930765999894022,,
1984-08-06,,0.066247268775020102,,
1984-08-07,,0.96486395036628425,,
1984-08-08,,0.056955046935672174,,
1984-08-09,,-0.002740983095659687,,
1984-08-10,,0.0082089210860499997,,
1984-08-13,,0.16340096084140732,,
1984-08-14,,-0.15344363610003037,,
1984-08-15,,-0.31412621311625955,,
1984-08-16,,0.36947887326839823,,
1984-08-17,,-0.41139924805829797,,
1984-08-20,,0.37129679487942319,,
1984-08-21,,-0.044253631221093104,,
1984-08-22,,-0.011544131906033456,,
1984-08-23,,1.1979135529509226,,
1984-08-24,,0.099288937070675029,,
1984-08-27,,0.41201576232469134,,
1984-08-28,,0.78351955422531616,,
1984-08-29,,-0.47201000300875084,,
1984-08-30,,-0.094559836568370872,,
1984-08-31,,-0.68767098783259029,,
1984-09-03,,4.9999999999999996e-18,,
1984-09-04,,0.63210556958971009,,
1984-09-05,,-1.1042847475513482,,
1984-09-06,,0.57417928763752513,,
1984-09-07,,-0.0474140245644376,,
1984-09-10,,0.0087328180228213228,,
1984-09-11,,0.34865997173320928,,
1984-09-12,,0.1836049717592127,,
1984-09-13,,0.16849794893825937,,
1984-09-14,,0.041125184672226138,,
1984-09-17,,0.20525161016541721,,
1984-09-18,,-0.44554637617788612,,
1984-09-19,,-0.3051445621583071,,
1984-09-20,,-0.39252775390036104,,
1984-09-21,,-0.32065421985096781,,
1984-09-24,,0.40838819117986991,,
1984-09-25,,0.61552381973365566,,
1984-09-26,,-0.20687245834943632,,
1984-09-27,,-0.083345314770713802,,
1984-09-28,,0.31559643181857006,,
1984-10-01,,0.97004706660888584,,
1984-10-02,,0.25180336485908489,,
1984-10-03,,0.25922012817118589,,
1984-10-04,,-0.21561757308741483,,
1984-10-05,,0.0052931032247627192,,
1984-10-08,,-0.00051374240002393799,,
1984-10-09,,0.57804090526628304,,
1984-10-10,,0.18252727911459182,,
1984-10-11,,0.27927997770920421,,
1984-10-12,,-0.18986775962232444,,
1984-10-15,,-0.030334009203884186,,
1984-10-16,,0.13534079228920498,,
1984-10-17,,-0.78138349512837557,,
1984-10-18,,-0.92170779889216015,,
1984-10-19,,0.62255829837722199,,
1984-10-22,,0.24762989125864812,,
1984-10-23,,0.22103853370189155,,
1984-10-24,,-0.53671952671625334,,
1984-10-25,,0.36396096660994953,,
1984-10-26,,0.6184622047637035,,
1984-10-29,,-0.11182029826209672,,
1984-10-30,,-0.25924692696341223,,
1984-10-31,,-0.022159859028820908,,
1984-11-01,,0.59284572156147219,,
1984-11-02,,-0.45644419351865018,,
1984-11-05,,-0.16067838667854925,,
1984-11-06,,0.6721994868671618,,
1984-11-07,,0.46882626231132352,,
1984-11-08,,0.15632779356592508,,
1984-11-09,,0.2018976492335933,,
1984-11-12,,0.44501708539254464,,
1984-11-13,,-0.000762650031257235,,
1984-11-14,,-0.3233838998279801,,
1984-11-15,,0.051060906791408664,,
1984-11-16,,-0.052699151365938529,,
1984-11-19,,0.23235258519608773,,
1984-11-20,,0.26973165890466405,,
1984-11-21,,-0.067743378007230598,,
1984-11-22,,0.039025138976454141,,
1984-11-23,,-0.13713946546785291,,
1984-11-26,,0.2200517633130325,,
1984-11-27,,-0.50384612085160563,,
1984-11-28,,-0.043149103082012336,,
1984-11-29,,0.42036065446642751,,
